Booking_ID,Property_ID,Room_Type_ID,Channel_ID,Customer_ID,Booking_Date,Check_In_Date,Check_Out_Date,Length_of_Stay,Adults,Children,Rooms_Booked,Payment_Method,Booking_Status,ADR,Discount_Percent,Room_Revenue,Extra_Charges,Total_Revenue
B000001,P004,RT02,CH04,C003065,13-02-2025,10-04-2025,13-04-2025,3,2,0,1,Cash,Checked-Out,2929.49,20,7030.78,199.16,7229.94
B000002,P006,RT01,CH04,C003152,09-09-2025,23-09-2025,25-09-2025,2,2,0,1,Cash,Checked-Out,1969.74,0,3939.48,512.91,4452.39
B000003,P005,RT01,CH03,C001350,10-10-2024,21-11-2024,22-11-2024,1,2,0,1,Credit Card,Checked-Out,2069.08,10,1862.17,269.2,2131.37
B000004,P008,RT04,CH04,C004851,18-08-2024,17-09-2024,20-09-2024,3,2,0,1,UPI,Checked-Out,6030.31,0,18090.93,1001.1,19092.03
B000005,P005,RT01,CH02,C000009,20-10-2025,25-10-2025,30-10-2025,5,4,0,1,UPI,Confirmed,2112.1,15,8976.42,399.14,9375.56
B000006,P004,RT02,CH02,C003500,21-01-2024,19-04-2024,20-04-2024,1,2,0,2,Credit Card,Confirmed,3155.56,10,5680.01,1063.95,6743.96
B000007,P004,RT03,CH06,C004288,02-10-2024,29-11-2024,30-11-2024,1,3,1,2,Credit Card,Checked-Out,4472.98,0,8945.96,400.45,9346.41
B000008,P006,RT03,CH03,C001114,23-04-2025,26-06-2025,27-06-2025,1,2,0,3,UPI,Confirmed,3934.77,5,11214.09,497.6,11711.69
B000009,P003,RT01,CH01,C003492,12-12-2024,07-03-2025,08-03-2025,1,3,0,1,Debit Card,Checked-Out,1830.64,0,1830.64,1492.46,3323.1
B000010,P007,RT01,CH03,C003477,20-06-2024,19-07-2024,20-07-2024,1,2,0,3,UPI,Checked-Out,1959.89,20,4703.74,249.77,4953.51
B000011,P006,RT02,CH05,C004588,26-06-2025,22-08-2025,24-08-2025,2,4,1,1,Credit Card,Checked-Out,3103.5,15,5275.95,404.53,5680.48
B000012,P008,RT01,CH06,C000677,09-01-2024,03-04-2024,06-04-2024,3,4,2,1,Net Banking,Checked-In,2035.35,20,4884.84,261.12,5145.96
B000013,P003,RT05,CH08,C002773,27-06-2025,01-10-2025,03-10-2025,2,3,2,1,Net Banking,Cancelled,5719.26,15,9722.74,0,9722.74
B000014,P003,RT04,CH06,C001384,20-07-2024,13-09-2024,15-09-2024,2,1,0,2,UPI,Confirmed,5511.13,0,22044.52,155.47,22199.99
B000015,P003,RT02,CH03,C002243,28-06-2024,04-09-2024,07-09-2024,3,2,0,2,Net Banking,No-Show,2816.97,10,15211.64,0,15211.64
B000016,P006,RT04,CH03,C000499,09-12-2025,13-01-2026,16-01-2026,3,2,1,1,UPI,Confirmed,5140.58,20,12337.39,306.06,12643.45
B000017,P001,RT01,CH02,C001641,17-12-2025,31-01-2026,02-02-2026,2,1,0,1,Net Banking,Checked-Out,1628.91,0,3257.82,173.46,3431.28
B000018,P001,RT03,CH05,C001855,22-06-2025,03-09-2025,05-09-2025,2,2,0,1,Net Banking,Confirmed,4368.14,20,6989.02,516.32,7505.34
B000019,P005,RT01,CH04,C004250,28-05-2025,28-05-2025,30-05-2025,2,2,0,1,Net Banking,Checked-Out,2076.68,10,3738.02,1335.69,5073.71
B000020,P001,RT03,CH05,C001070,17-01-2025,13-05-2025,15-05-2025,2,3,0,1,Net Banking,No-Show,4030,0,8060,0,8060
B000021,P001,RT02,CH02,C004277,28-01-2025,08-02-2025,09-02-2025,1,2,0,1,Net Banking,Checked-In,3129.75,0,3129.75,558.65,3688.4
B000022,P003,RT01,CH03,C001596,03-08-2025,23-11-2025,24-11-2025,1,2,2,1,Debit Card,Cancelled,2163.83,15,1839.26,0,1839.26
B000023,P003,RT01,CH03,C003828,06-12-2025,10-02-2026,13-02-2026,3,2,0,1,Net Banking,Checked-Out,2002.33,0,6006.99,300.94,6307.93
B000024,P004,RT02,CH06,C004322,02-09-2024,11-09-2024,17-09-2024,6,2,0,1,UPI,Confirmed,2594.77,0,15568.62,1349.41,16918.03
B000025,P003,RT03,CH02,C003104,28-02-2025,28-02-2025,01-03-2025,1,1,0,1,Net Banking,Cancelled,4324.22,5,4108.01,0,4108.01
B000026,P006,RT01,CH04,C000347,30-10-2024,17-11-2024,18-11-2024,1,3,0,1,UPI,Checked-Out,2068.57,5,1965.14,1556.95,3522.09
B000027,P004,RT02,CH01,C002223,25-04-2024,15-07-2024,16-07-2024,1,4,0,1,UPI,Checked-Out,2824.15,0,2824.15,1292.34,4116.49
B000028,P007,RT03,CH04,C000829,26-04-2024,12-08-2024,13-08-2024,1,2,1,1,UPI,Checked-Out,3916.21,0,3916.21,1562.66,5478.87
B000029,P004,RT02,CH01,C001630,07-03-2025,30-06-2025,04-07-2025,4,3,0,1,Debit Card,Cancelled,2924.42,5,11112.8,0,11112.8
B000030,P008,RT03,CH02,C003202,04-05-2024,06-08-2024,10-08-2024,4,1,0,1,Credit Card,Checked-Out,3726.54,0,14906.16,720.05,15626.21
B000031,P001,RT01,CH01,C001687,02-02-2024,27-03-2024,01-04-2024,5,4,0,2,UPI,Cancelled,1747.19,5,16598.3,0,16598.3
B000032,P008,RT02,CH03,C004348,17-04-2025,04-06-2025,08-06-2025,4,4,0,1,Credit Card,Confirmed,2582.64,0,10330.56,48.62,10379.18
B000033,P003,RT05,CH03,C001476,26-08-2025,19-10-2025,21-10-2025,2,1,1,1,Credit Card,Confirmed,5683.8,10,10230.84,1076.25,11307.09
