Customer_ID,Customer_Type,Country,Loyalty_Status
C000001,Couple,India,Regular
C000002,Group,India,Regular
C000003,Family,UAE,New
C000004,Family,India,Silver
C000005,Individual,Singapore,Regular
C000006,Individual,India,Gold
C000007,Individual,UK,New
C000008,Business,UAE,Silver
C000009,Family,India,Silver
C000010,Family,India,Silver
C000011,Individual,India,Gold
C000012,Group,USA,Silver
C000013,Business,India,Platinum
C000014,Individual,India,Regular
C000015,Individual,India,Regular
C000016,Individual,India,New
C000017,Individual,India,New
C000018,Couple,India,New
C000019,Couple,India,New
C000020,Individual,UAE,New
C000021,Family,India,New
C000022,Individual,India,New
C000023,Individual,Canada,Gold
C000024,Couple,USA,New
C000025,Couple,Australia,Silver
C000026,Business,India,New
C000027,Individual,India,Gold
C000028,Couple,India,Gold
C000029,Family,USA,Silver
C000030,Individual,India,Silver
C000031,Family,India,New
C000032,Individual,India,Platinum
C000033,Individual,India,Gold
C000034,Group,India,Gold
C000035,Group,India,Silver
C000036,Business,India,Regular
C000037,Individual,India,Gold
C000038,Individual,Canada,New
C000039,Family,USA,Regular
C000040,Couple,Australia,New
C000041,Individual,UK,Platinum
C000042,Couple,India,New
C000043,Individual,India,New
C000044,Group,India,Regular
C000045,Individual,India,Silver
C000046,Family,India,Silver
C000047,Individual,India,New
C000048,Couple,India,New
C000049,Couple,India,Silver
C000050,Individual,India,Platinum
C000051,Group,India,Gold
C000052,Business,UK,Regular
C000053,Group,India,Gold
C000054,Business,India,Regular
C000055,Family,India,Regular
C000056,Group,India,Regular
C000057,Individual,India,Regular
C000058,Individual,India,Silver
C000059,Individual,India,Regular
C000060,Individual,India,Regular
C000061,Couple,Australia,New
C000062,Individual,Australia,New
C000063,Business,India,Regular
C000064,Couple,India,New
C000065,Individual,USA,New
C000066,Couple,India,Silver
C000067,Individual,India,Silver
C000068,Business,India,Silver
C000069,Individual,Australia,Regular
C000070,Group,India,Gold
C000071,Business,India,Platinum
C000072,Individual,USA,Gold
C000073,Individual,India,Silver
C000074,Business,India,Regular
C000075,Family,Germany,Platinum
C000076,Family,India,New
C000077,Business,India,New
C000078,Individual,India,Regular
C000079,Couple,India,New
C000080,Individual,India,Platinum
C000081,Business,India,Regular
C000082,Family,India,Regular
C000083,Individual,UAE,Silver
C000084,Individual,India,Regular
C000085,Individual,India,New
C000086,Individual,India,Silver
C000087,Family,UK,Silver
C000088,Family,India,Regular
C000089,Business,India,Silver
C000090,Couple,India,New
C000091,Individual,India,New
C000092,Family,India,New
C000093,Business,UAE,Regular
C000094,Couple,India,Gold
C000095,Business,India,Gold
C000096,Couple,India,Regular
C000097,Couple,UAE,Regular
C000098,Couple,India,Silver
C000099,Individual,India,New
C000100,Individual,India,New
C000101,Individual,India,Platinum
C000102,Family,India,Silver
C000103,Individual,India,Platinum
C000104,Couple,India,Regular
C000105,Group,India,Silver
C000106,Individual,India,New
C000107,Couple,India,New
C000108,Business,India,Regular
C000109,Individual,UK,Regular
C000110,Individual,Canada,New
C000111,Individual,Germany,New
C000112,Individual,Singapore,New
C000113,Group,India,Silver
C000114,Business,USA,Regular
C000115,Family,India,New
C000116,Business,India,New
C000117,Business,India,New
C000118,Individual,India,Silver
C000119,Business,USA,New
C000120,Couple,India,Silver
C000121,Business,India,New
C000122,Business,Australia,New
C000123,Individual,India,Gold
C000124,Individual,India,Silver
C000125,Individual,Australia,New
C000126,Couple,India,Gold
C000127,Business,India,Regular
C000128,Business,India,Gold
C000129,Individual,India,Silver
C000130,Couple,UAE,Silver
C000131,Couple,India,Platinum
C000132,Individual,India,New
C000133,Individual,India,Silver
C000134,Individual,India,Regular
C000135,Group,Canada,New
C000136,Individual,India,New
C000137,Couple,India,New
C000138,Family,India,Silver
C000139,Couple,India,Regular
C000140,Group,Australia,Regular
C000141,Group,India,New
C000142,Individual,India,Regular
C000143,Couple,India,Platinum
C000144,Individual,UK,Regular
C000145,Individual,India,Silver
C000146,Individual,Singapore,Silver
C000147,Family,India,Gold
C000148,Couple,Singapore,Regular
C000149,Individual,India,Gold
C000150,Individual,India,Regular
C000151,Group,India,Gold
C000152,Individual,India,New
C000153,Individual,Australia,New
C000154,Couple,UK,New
C000155,Group,India,Gold
C000156,Individual,India,Regular
C000157,Family,India,New
C000158,Business,USA,New
C000159,Individual,India,Gold
C000160,Family,India,Gold
C000161,Couple,India,Regular
C000162,Family,India,Silver
C000163,Family,India,Regular
C000164,Couple,India,Regular
C000165,Individual,India,Gold
C000166,Business,Germany,New
C000167,Individual,India,Regular
C000168,Individual,India,Regular
C000169,Individual,India,Regular
C000170,Family,UK,Regular
C000171,Family,India,Regular
C000172,Individual,India,New
C000173,Couple,India,Regular
C000174,Individual,India,New
C000175,Family,India,New
C000176,Individual,UAE,New
C000177,Family,Singapore,Silver
C000178,Couple,India,Regular
C000179,Group,India,Silver
C000180,Individual,Australia,Silver
C000181,Individual,India,Silver
C000182,Individual,UAE,Regular
C000183,Group,India,Regular
C000184,Business,Australia,Regular
C000185,Individual,USA,Silver
C000186,Family,Canada,Regular
C000187,Business,India,Gold
C000188,Couple,India,Gold
C000189,Couple,Australia,New
C000190,Individual,India,New
C000191,Individual,India,Silver
C000192,Business,USA,Regular
C000193,Group,UK,New
C000194,Family,Australia,Gold
C000195,Individual,India,New
C000196,Individual,UK,Platinum
C000197,Family,USA,Silver
C000198,Business,India,Silver
C000199,Business,India,New
C000200,Business,India,New
C000201,Family,India,Regular
C000202,Individual,Germany,New
C000203,Individual,India,Regular
C000204,Business,USA,Regular
C000205,Family,Germany,New
C000206,Individual,India,New
C000207,Individual,UK,Gold
C000208,Family,India,New
C000209,Individual,Singapore,New
C000210,Individual,India,Silver
C000211,Couple,Canada,Platinum
C000212,Family,India,Regular
C000213,Family,India,New
C000214,Individual,USA,Regular
C000215,Family,India,Gold
C000216,Individual,India,Gold
C000217,Individual,India,Silver
C000218,Family,USA,Regular
C000219,Family,India,Regular
C000220,Business,India,New
C000221,Family,India,Silver
C000222,Couple,India,Silver
C000223,Individual,India,Platinum
C000224,Couple,India,New
C000225,Individual,India,New
C000226,Individual,India,Regular
C000227,Group,India,Silver
C000228,Couple,Singapore,Gold
C000229,Business,India,New
C000230,Family,India,New
